Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
3,79,LVR,Malcolm Koonce,DE,23,2023,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,0,0,11,,2.0,Buffalo,College Stats,KoonMa00
3,80,LVR,Divine Deablo,DB,23,2023,0,0,0,8,8,28,0,0,0,0,0,0,0,0,0,0,0,81,,1.0,Virginia Tech,College Stats,DeabDi00
3,81,MIA,Hunter Long,TE,23,2022,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,8,0,1,,,Boston Col.,College Stats,LongHu00
3,82,WAS,Dyami Brown,WR,21,2023,0,0,0,2,2,33,0,0,0,0,0,2,11,0,20,333,2,3,,,North Carolina,College Stats,BrowDy00
3,83,CAR,Tommy Tremble,TE,21,2023,0,0,1,3,3,36,0,0,0,0,0,3,11,1,40,369,4,7,,,Notre Dame,College Stats,TremTo00
3,84,DAL,Chauncey Golston,DL,23,2023,0,0,0,3,3,33,0,0,0,0,0,0,0,0,0,0,0,28,,3.0,Iowa,College Stats,GolsCh00
3,85,GNB,Amari Rodgers,WR,21,2022,0,0,0,2,1,32,0,0,0,0,0,3,18,0,20,249,1,3,,,Clemson,College Stats,RodgAm00
3,86,MIN,Wyatt Davis,OL,22,2022,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,DaviWy00
3,87,PIT,Kendrick Green,OL,22,2023,0,0,1,5,5,18,0,0,0,0,0,0,0,0,0,0,0,1,,,Illinois,College Stats,GreeKe02
3,88,SFO,Trey Sermon,RB,22,2023,0,0,0,1,1,12,0,0,0,0,0,48,203,1,4,30,0,1,,,Ohio St.,College Stats,SermTr00
3,89,HOU,Nico Collins,WR,22,2023,0,0,0,7,7,27,0,0,0,0,0,0,0,0,85,1187,4,2,,,Michigan,College Stats,CollNi00
3,90,MIN,Patrick Jones II,DL,22,2023,0,0,0,2,2,28,0,0,0,0,0,0,0,0,0,0,0,21,,4.0,Pittsburgh,College Stats,JonePa00
3,91,CLE,Anthony Schwartz,WR,21,2022,0,0,0,2,2,25,0,0,0,0,0,10,96,1,14,186,1,3,,,Auburn,College Stats,SchwAn00
3,92,TEN,Monty Rice,LB,22,2023,0,0,0,5,5,26,0,0,0,0,0,0,0,0,0,0,0,58,,,Georgia,College Stats,RiceMo00
3,93,BUF,Spencer Brown,OL,23,2023,0,0,1,15,15,30,0,0,0,0,0,0,0,0,0,0,0,1,,,Northern Iowa,,BrowSp00
3,94,BAL,Ben Cleveland,OL,23,2023,0,0,0,3,3,23,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,ClevBe00
3,95,TAM,Robert Hainsey,OL,23,2023,0,0,1,7,7,29,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats,HainRo00
3,96,NWE,Ronnie Perkins,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats,PerkRo00
3,97,LAC,Tre' McKitty,TE,22,2023,0,0,0,1,1,31,0,0,0,0,0,0,0,0,16,117,0,2,,,Georgia,College Stats,McKiTr00
3,98,DEN,Quinn Meinerz,C,22,2023,0,0,1,8,8,31,0,0,0,0,0,0,0,0,0,0,0,1,,,Wisconsin–Whitewater,,MeinQu02
3,99,DAL,Nahshon Wright,DB,22,2022,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,24,1,,Oregon St.,College Stats,WrigNa00
3,100,TEN,Elijah Molden,DB,22,2023,0,0,0,3,3,21,0,0,0,0,0,0,0,0,0,0,0,59,1,,Washington,College Stats,MoldEl00
3,101,DET,Ifeatu Melifonwu,DB,22,2023,0,0,0,2,2,21,0,0,0,0,0,0,0,0,0,0,0,26,,0.5,Syracuse,College Stats,MeliIf00
3,102,SFO,Ambry Thomas,DB,21,2023,0,0,0,3,3,29,0,0,0,0,0,0,0,0,0,0,0,33,1,,Michigan,College Stats,ThomAm00
3,103,LAR,Ernest Jones,LB,21,2023,0,0,1,9,9,35,0,0,0,0,0,0,0,0,0,0,0,118,3,1.0,South Carolina,College Stats,JoneEr01
3,104,BAL,Brandon Stephens,CB,23,2023,0,0,1,7,7,35,0,0,0,0,0,0,0,0,0,0,0,98,,0.5,SMU,College Stats,StepBr01
3,105,DEN,Baron Browning,LB,22,2022,0,0,0,11,11,28,0,0,0,0,0,0,0,0,0,0,0,46,1,5.0,Ohio St.,College Stats,BrowBa01
4,106,JAX,Jay Tufele,DL,22,2023,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,8,,,USC,College Stats,TufeJa00
4,107,NYJ,Michael Carter,RB,22,2023,0,0,2,10,10,33,0,0,0,0,0,264,1055,7,81,631,0,1,,,North Carolina,College Stats,CartMi03
4,108,ATL,Darren Hall,CB,21,2022,0,0,1,4,4,31,0,0,0,0,0,0,0,0,0,0,0,50,,1.0,San Diego St.,College Stats,HallDa03
4,109,TEN,Dez Fitzpatrick,WR,23,2022,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,49,1,1,,,Louisville,College Stats,FitzDe00
4,110,CLE,James Hudson,OL,22,2023,0,0,0,4,4,31,0,0,0,0,0,0,0,0,0,0,0,,,,Cincinnati,College Stats,HudsJa00
4,111,CIN,Cameron Sample,DE,21,2023,0,0,0,3,3,33,0,0,0,0,0,0,0,0,0,0,0,28,,3.5,Tulane,College Stats,SampCa00
4,112,DET,Amon-Ra St. Brown,WR,21,2023,0,1,1,21,21,37,0,0,0,0,0,17,160,1,222,2404,13,1,,,USC,College Stats,StxxAm00
