Rnd,Pick,Tm,Player,ID,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,SoloTkl,Int,Sk,College/Univ,Year
7,232,IND,Ulrick John,JohnUl00,OL,22,2017,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia St.,2014
7,233,NYJ,Trevor Reilly,ReilTr00,LB,26,2017,0,0,0,3,2,37,0,0,0,0,0,0,0,0,0,0,0,14,,1.0,Utah,2014
7,234,MIA,Terrence Fede,FedeTe00,DE,22,2017,0,0,0,6,6,51,0,0,0,0,0,0,0,0,0,0,0,30,,1.0,Marist,2014
7,235,OAK,Shelby Harris,HarrSh00,DE,23,2018,0,0,0,7,1,40,0,0,0,0,0,0,0,0,0,0,0,55,1,8.0,Illinois St.,2014
7,236,GNB,Jeff Janis,JaniJe00,WR,23,2017,0,0,0,2,2,51,0,0,0,0,0,2,38,1,17,200,1,,,,Saginaw Valley St.,2014
7,237,BUF,Seantrel Henderson,HendSe00,OL,22,2018,0,0,2,14,13,35,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (FL),2014
7,238,DAL,Will Smith,SmitWi01,LB,22,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Texas Tech,2014
7,239,CIN,James Wright,WrigJa03,WR,22,2016,0,0,0,2,2,24,0,0,0,0,0,5,24,0,18,197,0,6,,,LSU,2014
7,240,SDG,Tevin Reese,ReesTe00,WR,23,2014,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,2014
7,241,STL,C.B. Bryant,BryaC.00,DB,22,2016,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,1,,,Ohio St.,2014
7,242,DEN,Corey Nelson,NelsCo00,LB,22,2018,0,0,0,6,6,54,0,0,0,0,0,0,0,0,0,0,0,62,,1.0,Oklahoma,2014
7,243,SFO,Kaleb Ramsey,RamsKa00,DE,25,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,2014
7,244,NWE,Jeremy Gallon,GallJe00,WR,24,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,2014
7,245,SFO,Trey Millard,MillTr00,FB,23,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,2014
7,246,CHI,Charles Leno,LenoCh00,T,22,2018,0,1,4,31,31,70,0,0,0,0,0,0,0,0,0,0,0,,,,Boise St.,2014
7,247,OAK,Jonathan Dowling,DowlJo00,DB,22,2014,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,,,Western Kentucky,2014
7,248,DAL,Ahmad Dixon,DixoAh00,DB,23,2014,0,0,0,0,,11,0,0,0,0,0,0,0,0,0,0,0,2,,,Baylor,2014
7,249,STL,Michael Sam,SamxMi00,DE,24,2014,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,2014
7,250,STL,Demetrius Rhaney,RhanDe00,OL,22,2017,0,0,0,2,2,33,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee St.,2014
7,251,DAL,Ken Bishop,BishKe01,DT,23,2015,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,,,Northern Illinois,2014
7,252,CIN,Lavelle Westbrooks,WestLa00,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia Southern,2014
7,253,ATL,Yawin Smallwood,SmalYa00,LB,22,2014,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,Connecticut,2014
7,254,DAL,Terrance Mitchell,MitcTe00,DB,22,2018,0,0,0,7,0,38,0,0,0,0,0,0,0,0,0,0,0,108,6,1.0,Oregon,2014
7,255,ATL,Tyler Starr,StarTy00,LB,23,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,South Dakota,2014
7,256,HOU,Lonnie Ballentine,BallLo00,DB,21,2016,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,,,Memphis,2014
